"level3_species","species_key","de_observations","common_name_en"
"Salix bebbiana",5373055,1,"Aridland willow"
"Salix meyeriana",7580239,1,"shiny-leaf willow"
"Salix rosmarinifolia",7104059,1,NA
"Sigesbeckia jorullensis",3125893,1,"Siegesbeckie"
"Sonchus acaulis",3105715,1,"giant dandelion"
"Sonchus pendulus",3105729,1,NA
"Sonchus tenerrimus",3105768,1,"Clammy Sowthistle"
"Sorbus latifolia",9755562,1,NA
"Spiraea vanhouttei",3026622,1,NA
"Staphylea colchica",3686281,1,"Caucasian Bladdernut"
"Styphnolobium japonicum",2963569,1,"Chinese Scholar Tree"
"Taxus media",6420771,1,"Anglo-Japanese yew"
"Tilia euchlora",7149674,1,"Caucasian lime"
"Toona sinensis",7271504,1,"Chinese Cedar"
"Vaccinium deliciosum",2882961,1,"Cascade bilberry"
"Viburnum dentatum",2888594,1,"Arrow-wood"
"Viburnum rhytidophylloides",2888588,1,"Viburnum"
"Yucca flaccida",2775530,1,"Adam's-needle"
